FID	LOC	SLOC	CLOC	CVRL
1	1332	948	329	0.347046
2	1071	833	242	0.290516
3	723	401	84	0.209476
4	79	27	0	0
5	172	103	25	0.242718
6	246	165	12	0.0727273
7	103	0	0	0
8	40	0	0	0
9	38	0	0	0
10	1156	708	8	0.0112994
11	189	97	0	0
12	584	318	68	0.213836
13	674	451	22	0.0487805
14	553	317	47	0.148265
15	154	7	0	0
16	13	6	0	0
17	211	128	27	0.210938
18	387	244	27	0.110656
19	229	125	40	0.32
20	202	125	9	0.072
21	363	171	56	0.327485
22	190	101	51	0.50495
23	94	38	0	0
24	280	189	0	0
25	293	4	0	0
26	1209	824	83	0.100728
27	1729	1078	21	0.0194805
28	571	4	0	0
29	894	456	290	0.635965
30	156	2	0	0
31	272	4	0	0
32	1907	1052	61	0.0579848
33	411	6	0	0
